"cve_ent","cve_mun","cve_loc","nom_loc","cve_col","nom_col","lon","lat"
"26","029","0001","Heroica Guaymas","2602900012","CERRO GANDEREÑO",-110.905215953114,27.9204199254291
"26","029","0001","Heroica Guaymas","2602900013","LA CANTERA",-110.89303286045,27.9163676049786
"26","042","0001","Navojoa","2604200014","ROSALES",-109.431402984477,27.0899019741422
"26","029","0001","Heroica Guaymas","2602900015","YUCATAN",-110.899727628777,27.9150739261423
"26","029","0001","Heroica Guaymas","2602900016","SAN GILBERTO",-110.892295396754,27.9117401586061
"26","029","0001","Heroica Guaymas","2602900017","EL RASTRO",-110.898773498797,27.9094435535401
"26","042","0001","Navojoa","2604200018","AVIACION",-109.435294888342,27.0774139870592
"26","029","0001","Heroica Guaymas","2602900019","SAN JOSE",-110.903266164359,27.9116065088083
"26","029","0001","Heroica Guaymas","26029000110","SAN BERNARDO",-110.899953352287,27.9049286332339
"26","042","0001","Navojoa","26042000111","MOCUZARIT",-109.428636840437,27.0837859468472
"26","042","0001","Navojoa","26042000112","ALLENDE",-109.423126003559,27.0882465873533
"26","029","0001","Heroica Guaymas","26029000113","22 DE NOVIEMBRE",-110.903024623539,27.9069405573874
"26","042","0001","Navojoa","26042000114","MIRAVALLE",-109.42604661508,27.0920988829913
"26","029","0001","Heroica Guaymas","26029000115","COSTA AZUL",-110.902664099031,27.9024874780868
"26","042","0001","Navojoa","26042000116","JACARANDAS",-109.425701437116,27.0805157973093
"26","029","0001","Heroica Guaymas","26029000117","LINDA VISTA",-110.915350407801,27.9571710158114
"26","029","0001","Heroica Guaymas","26029000118","LOS ARRECIFES",-110.914021302609,27.9536834102215
"26","042","0001","Navojoa","26042000119","JACARANDAS 2",-109.415671291263,27.0846653875197
"26","029","0001","Heroica Guaymas","26029000120","LAS PRADERAS",-110.915525337466,27.9523388511061
"26","042","0001","Navojoa","26042000121","SANTA CLARA",-109.418102442426,27.0853239415994
"26","029","0001","Heroica Guaymas","26029000122","CARLOS ROMERO DESCHAMPS",-110.916797506771,27.9510156194416
"26","029","0001","Heroica Guaymas","26029000123","EL MIRADOR",-110.917932041314,27.9515533430176
"26","042","0001","Navojoa","26042000124","TIERRA Y LIBERTAD",-109.417193910849,27.0786444934348
"26","029","0001","Heroica Guaymas","26029000125","VILLAS DEL PUERTO",-110.919471231548,27.9492789729688
"26","042","0001","Navojoa","26042000126","ARMANDO LOPEZ NOGALES",-109.408089538335,27.0771098172624
"26","029","0001","Heroica Guaymas","26029000127","ATARDECERES",-110.918502683515,27.9501452675774
"26","042","0001","Navojoa","26042000128","FRANCISCO VILLA",-109.424804683658,27.07652301144
"26","029","0001","Heroica Guaymas","26029000129","LOS LAGOS",-110.923158283754,27.9478148755493
"26","042","0001","Navojoa","26042000130","16 DE JUNIO",-109.417118449795,27.0698069938804
"26","029","0001","Heroica Guaymas","26029000131","VALLE BONITO",-110.91279096291,27.9551509443862
"26","029","0001","Heroica Guaymas","26029000132","JUAN FRANCISCO PATRON MARQUEZ",-110.93158830519,27.9495316713919
"26","042","0001","Navojoa","26042000133","INDEUR",-109.421226480704,27.0654695273433
"26","042","0001","Navojoa","26042000134","SOP",-109.423998107359,27.0691863158945
"26","042","0001","Navojoa","26042000135","TETABOCA",-109.421990308998,27.0563941166315
"26","029","0001","Heroica Guaymas","26029000136","LOS VERGELES",-110.926125665089,27.9514471871228
"26","042","0001","Navojoa","26042000137","SONORA PROGRESISTA",-109.423054870174,27.0621774858568
"26","042","0001","Navojoa","26042000138","INFONAVIT SONORA",-109.422675949408,27.0590636453857
"26","029","0001","Heroica Guaymas","26029000139","LUIS DONALDO COLOSIO",-110.929593969931,27.9466679402971
"26","042","0001","Navojoa","26042000140","JOSE ROSARIO RUELAS",-109.425626049387,27.0581968509524
"26","042","0001","Navojoa","26042000141","MINAS DE ARENA",-109.435591767718,27.0569930231813
"26","029","0001","Heroica Guaymas","26029000142","AMPLIACION LOMA LINDA",-110.923919006843,27.9434774863205
"26","029","0001","Heroica Guaymas","26029000143","LOMA LINDA",-110.929702908075,27.9411863866955
"26","042","0001","Navojoa","26042000144","TEPEYAC",-109.429072013389,27.0545780966988
"26","042","0001","Navojoa","26042000145","MISIONEROS",-109.434387025381,27.0516736035348
"26","029","0001","Heroica Guaymas","26029000146","FEMOSA O EL TULAR",-110.936639621014,27.9412361814701
"26","029","0001","Heroica Guaymas","26029000147","LOS PINOS",-110.936965208382,27.9364614183555
"26","029","0001","Heroica Guaymas","26029000148","18 DE MARZO",-110.930520242963,27.9357005110607
"26","029","0001","Heroica Guaymas","26029000149","AEROPUERTO",-110.926120483388,27.9362871150734
"26","029","0001","Heroica Guaymas","26029000150","CAMPO DE TIRO",-110.92447381378,27.9331037271783
"26","042","0001","Navojoa","26042000151","PUEBLO NUEVO",-109.422099213588,27.0961232087523
"26","029","0001","Heroica Guaymas","26029000152","LAS JUNTAS",-110.921541880684,27.9269153143028
"26","042","0001","Navojoa","26042000153","BUENAVISTA",-109.414622008148,27.10384034529
"26","042","0001","Navojoa","26042000155","PUEBLO VIEJO",-109.434689891827,27.100740219206
"26","042","0001","Navojoa","26042000156","TIERRAS DE CULTIVO",-109.433615632813,27.0948100300271
"26","042","0001","Navojoa","26042000157","INFONAVIT OBRERA CTM",-109.438318091794,27.0876940711737
"26","029","0001","Heroica Guaymas","26029000158","LAS QUINTAS",-110.925899611688,27.9281921576029
"26","029","0001","Heroica Guaymas","26029000159","LAS TINAJAS",-110.955330353613,27.927276355712
"26","029","0001","Heroica Guaymas","26029000160","MIRAMAR",-110.945332819117,27.9207680236164
"26","029","0001","Heroica Guaymas","26029000161","EL DORADO",-110.941220035794,27.9303591868447
"26","029","0001","Heroica Guaymas","26029000162","GIL SAMANIEGO",-110.911870112048,27.8985049435257
"26","029","0001","Heroica Guaymas","26029000163","100 CASAS",-110.910154843163,27.8995347650336
"26","029","0001","Heroica Guaymas","26029000164","5 DE MAYO",-110.919766661744,27.9008875105612
"26","018","0001","Ciudad Obregón","26018000165","DEL VALLE",-109.949558134136,27.4959271006207
"26","018","0001","Ciudad Obregón","26018000167","BENITO JUAREZ",-109.922244203159,27.4929529493733
"26","018","0001","Ciudad Obregón","26018000168","MISIONEROS (BARRIO LAS CACHIMBAS)",-109.926134813065,27.4835957367268
"26","018","0001","Ciudad Obregón","26018000169","RAMIRO VALDEZ FONTES",-109.925582864573,27.4817304229781
"26","018","0001","Ciudad Obregón","26018000170","PARQUE INDUSTRIAL",-109.902148804277,27.4687559985217
"26","018","0001","Ciudad Obregón","26018000171","NUEVO CAJEME",-109.925236804428,27.510212435415
"26","018","0001","Ciudad Obregón","26018000172","MATIAS MENDEZ",-109.924234378809,27.5154162214643
"26","018","0001","Ciudad Obregón","26018000173","CAJEME",-109.917292547709,27.5158074973762
"26","018","0001","Ciudad Obregón","26018000174","SAN ANTONIO",-109.911853087427,27.5158370850277
"26","018","0001","Ciudad Obregón","26018000175","VILLAS DE GUADALUPE",-109.913190773063,27.5198928715485
"26","018","0001","Ciudad Obregón","26018000176","NUEVO AMANECER",-109.912157680687,27.5229809442137
"26","055","0001","San Luis Río Colorado","26055000177","CUAUHTEMOC",-114.787884533146,32.4801670857401
"26","018","0001","Ciudad Obregón","26018000178","PIONEROS DE CAJEME",-109.89472417774,27.5274947612328
"26","018","0001","Ciudad Obregón","26018000179","LOS ANGELES",-109.914967530947,27.501649367071
"26","055","0001","San Luis Río Colorado","26055000180","COMERCIAL",-114.777001035899,32.4754615447168
"26","018","0001","Ciudad Obregón","26018000181","MIRA SIERRA",-109.915207982534,27.4926160500379
"26","018","0001","Ciudad Obregón","26018000182","LINDA VISTA",-109.915210498752,27.4908022449672
"26","055","0001","San Luis Río Colorado","26055000183","SONORA",-114.78316937646,32.4605344403534
"26","018","0001","Ciudad Obregón","26018000184","LAS HACIENDAS",-109.904394292583,27.497330616024
"26","055","0001","San Luis Río Colorado","26055000185","DEL BOSQUE",-114.788518582992,32.4469029072148
"26","018","0001","Ciudad Obregón","26018000186","SIERRA VISTA",-109.924798649368,27.5209328433717
"26","018","0001","Ciudad Obregón","26018000187","AMANECER DEL VALLE",-109.907612814338,27.5238625863926
"26","018","0001","Ciudad Obregón","26018000188","AMANECERES",-109.915085466014,27.530114211482
"26","055","0001","San Luis Río Colorado","26055000190","AVIACION",-114.814469751858,32.4515850692055
"26","018","0001","Ciudad Obregón","26018000191","DESIERTO DE ALTAR",-109.944328770155,27.51709826486
"26","018","0001","Ciudad Obregón","26018000192","QUINTA DIAZ",-109.944063009495,27.5055201456076
"26","055","0001","San Luis Río Colorado","26055000193","INDUSTRIAL",-114.808703914432,32.4632884172237
"26","055","0001","San Luis Río Colorado","26055000194","LA MESA",-114.805850711868,32.4696452052351
"26","018","0001","Ciudad Obregón","26018000195","LA JOYA",-109.950154963737,27.5184239833535
"26","055","0001","San Luis Río Colorado","26055000196","RESIDENCIAS",-114.761138148937,32.4707472560773
"26","018","0001","Ciudad Obregón","26018000197","VILLA CALIFORNIA",-109.947549792429,27.5161177509083
"26","018","0001","Ciudad Obregón","26018000198","FOVISSSTE",-109.94779238692,27.5179111704261
"26","018","0001","Ciudad Obregón","26018000199","LAS CODORNICES",-109.950551177999,27.5155539858138
"26","055","0001","San Luis Río Colorado","260550001100","BUROCRATA",-114.74260669864,32.4652083486304
"26","018","0001","Ciudad Obregón","260180001101","EL TUNEL",-109.949785822753,27.5130678468127
"26","018","0001","Ciudad Obregón","260180001102","DEL AGRONOMO",-109.947067514828,27.5118252096053
"26","018","0001","Ciudad Obregón","260180001103","ALTAR",-109.949651890584,27.5109355942043
"26","055","0001","San Luis Río Colorado","260550001104","10 DE ABRIL",-114.727521252221,32.4606501686706
"26","018","0001","Ciudad Obregón","260180001105","NOROESTE",-109.949367622251,27.5091631122303
"26","055","0001","San Luis Río Colorado","260550001106","PROGRESO",-114.733765042831,32.4458251814501
"26","018","0001","Ciudad Obregón","260180001107","LADRILLERA",-109.958282739746,27.5053078745598
"26","055","0001","San Luis Río Colorado","260550001108","CAMPESTRE",-114.748410521953,32.4505128105813
"26","055","0001","San Luis Río Colorado","260550001109","RUIZ CORTINES",-114.795125350721,32.4626321690188
"26","018","0001","Ciudad Obregón","260180001110","MORELOS",-109.959523830626,27.5023527007637
"26","055","0001","San Luis Río Colorado","260550001111","JALISCO",-114.767308574735,32.4558245640315
"26","055","0001","San Luis Río Colorado","260550001112","FEDERAL",-114.773018073855,32.4419725281131
"26","055","0001","San Luis Río Colorado","260550001113","MEZQUITE",-114.778830734975,32.4265333698568
"26","018","0001","Ciudad Obregón","260180001114","CUAUHTEMOC",-109.953220688059,27.4997073483806
"26","055","0001","San Luis Río Colorado","260550001115","REFORMA",-114.761234876474,32.4187995840124
"26","055","0001","San Luis Río Colorado","260550001116","SOLIDARIDAD",-114.747341755138,32.4126570648796
"26","018","0001","Ciudad Obregón","260180001117","FOVISSSTE 1",-109.958279893393,27.4971792218364
"26","018","0001","Ciudad Obregón","260180001119","INFONAVIT YUKUJIMARI",-109.958004219487,27.4951656509394
"26","018","0001","Ciudad Obregón","260180001120","MULTIFAMILIARES",-109.961593040958,27.4950243713439
"26","018","0001","Ciudad Obregón","260180001121","HIDALGO",-109.949279534147,27.4852565929165
"26","018","0001","Ciudad Obregón","260180001122","CUMURIPA",-109.949301392454,27.4921974207558
"26","018","0001","Ciudad Obregón","260180001123","LAZARO MERCADO",-109.948619727667,27.4893427469613
"26","018","0001","Ciudad Obregón","260180001124","LAS TORRES",-109.951329741872,27.4884869141872
"26","036","0001","Magdalena de Kino","260360001125","EL PALENQUE",-110.948120141273,30.6439810116981
"26","036","0001","Magdalena de Kino","260360001126","LA VICTORIA",-110.950747347036,30.6406919621661
"26","018","0001","Ciudad Obregón","260180001127","REAL DEL ARCO",-109.95864803531,27.4932938838531
"26","036","0001","Magdalena de Kino","260360001128","LA ANTENA",-110.953166652877,30.6386565054785
"26","018","0001","Ciudad Obregón","260180001129","BELLA VISTA",-109.962065537007,27.4909915525644
"26","025","0001","Empalme","260250001130","LINDA VISTA",-110.778110978121,27.9675519489303
"26","025","0001","Empalme","260250001131","JACARANDA",-110.780167704518,27.9678798410931
"26","025","0001","Empalme","260250001132","EL SAHUARAL",-110.787829115857,27.9665150736455
"26","025","0001","Empalme","260250001133","7 DE ENERO",-110.783412191647,27.9629977503642
"26","025","0001","Empalme","260250001134","INF GUADALUPE",-110.786842496438,27.9629665066849
"26","042","0001","Navojoa","260420001135","VILLA LOURDES",-109.479949595771,27.0747131869919
"26","025","0001","Empalme","260250001136","PALMARES",-110.778964592674,27.9639987135335
"26","025","0001","Empalme","260250001137","NUEVO EMPALME",-110.778343409446,27.9626919587051
"26","025","0001","Empalme","260250001138","GUADALUPE",-110.788193492211,27.9611544247098
"26","042","0001","Navojoa","260420001139","TETANCHOPO",-109.47047945779,27.0793777658112
"26","025","0001","Empalme","2602500016267","LOS PORTALES",-110.776295929001,27.9596586437088
"26","025","0001","Empalme","260250001142","VILLA DORADA",-110.779802488411,27.956798308924
"26","025","0001","Empalme","260250001143","BAHIA DEL SOL",-110.788797624836,27.9581710520062
"26","042","0001","Navojoa","260420001145","TIERRA BLANCA",-109.468464490998,27.0705804812468
"26","025","0001","Empalme","260250001146","LIBERTAD",-110.796985255419,27.959506076164
"26","025","0001","Empalme","260250001147","ORIENTE",-110.804579563843,27.9558237113521
"26","042","0001","Navojoa","260420001148","CONSTITUCION",-109.457136585027,27.0755661177212
"26","025","0001","Empalme","260250001149","PASCUAL ORTIZ RUBIO",-110.807176934516,27.9614419333548
"26","042","0001","Navojoa","260420001150","EL ALAMO",-109.445796272511,27.0932270081643
"26","025","0001","Empalme","260250001151","JORDAN",-110.799528667231,27.9664261495882
"26","042","0001","Navojoa","260420001152","VILLA DEL SOL",-109.447265640086,27.0930182087599
"26","025","0001","Empalme","260250001153","JUAREZ",-110.809003279136,27.9730860315408
"26","025","0001","Empalme","260250001154","MODERNA NORTE",-110.816551955512,27.9742279636552
"26","025","0001","Empalme","260250001155","MODERNA",-110.817131433027,27.9616693283068
"26","025","0001","Empalme","260250001156","DR IGNACIO CHAVEZ MENDEZ",-110.823928810318,27.9574059737409
"26","042","0001","Navojoa","260420001157","DEPORTIVA",-109.461222134325,27.0613473206606
"26","025","0001","Empalme","260250001158","BELLA VISTA",-110.825422479233,27.9598218187768
"26","042","0001","Navojoa","260420001159","ITSON",-109.460051632147,27.0557526970697
"26","025","0001","Empalme","260250001160","PITIC",-110.824474738543,27.9664737682026
"26","025","0001","Empalme","260250001161","PESQUEIRA",-110.827753247114,27.9658965570315
"26","042","0001","Navojoa","260420001162","BELTRONES 2",-109.465133748825,27.054549840747
"26","025","0001","Empalme","260250001163","RONALDO CAMACHO DURAN",-110.823012323801,27.9725673423071
"26","042","0001","Navojoa","260420001164","CENTRAL",-109.46638884675,27.0512081800181
"26","025","0001","Empalme","260250001165","AMPLIACION RONALDO CAMACHO DURAN",-110.825739155954,27.9749129289929
"26","042","0001","Navojoa","260420001166","BELTRONES",-109.457084265295,27.0516489560994
"26","042","0001","Navojoa","260420001167","AMPLIACION BELTRONES",-109.46206172743,27.0514243463846
"26","025","0001","Empalme","260250001168","KILOMETRO DOS (ORIENTE)",-110.811841521016,27.9530455911259
"26","025","0001","Empalme","260250001169","KILOMETRO DOS (PONIENTE)",-110.815987247722,27.9531704640722
"26","025","0001","Empalme","260250001170","CUARTEL MILITAR",-110.810037259206,27.9501874771311
"26","025","0001","Empalme","260250001171","SIN NOMBRE",-110.80426977455,27.9524164559219
"26","025","0001","Empalme","260250001172","LA LADRILLERA",-110.795224671519,27.9768860993787
"26","025","0001","Empalme","260250001173","AMPLIACION JORDAN",-110.800675011319,27.969698924294
"26","029","0001","Heroica Guaymas","260290001174","COLINAS DE FATIMA",-110.874633269869,27.9391206182267
"26","042","0001","Navojoa","260420001175","FOVISSSTE",-109.466196974135,27.0478074964952
"26","029","0001","Heroica Guaymas","260290001176","TERMOELECTRICA",-110.866870238275,27.9292977394819
"26","029","0001","Heroica Guaymas","260290001177","MONTE LOLITA",-110.873888106215,27.9290725362877
"26","042","0001","Navojoa","260420001178","FOVISSSTE - SON",-109.464653673533,27.0423001861998
"26","029","0001","Heroica Guaymas","260290001179","PUNTA DE ARENA",-110.87415225001,27.9242527244646
"26","042","0001","Navojoa","260420001180","BRISAS DEL VALLE",-109.46200892673,27.0464586950578
"26","042","0001","Navojoa","260420001181","VILLA DORADA",-109.454756506304,27.0469830009229
"26","042","0001","Navojoa","260420001182","LA JOYA",-109.456271718851,27.0433608423808
"26","042","0001","Navojoa","260420001183","BUGAMBILIAS",-109.450807037435,27.0474457709875
"26","042","0001","Navojoa","260420001184","LAURELES",-109.449503669947,27.0447647067045
"26","029","0001","Heroica Guaymas","260290001185","GOLONDRINAS",-110.879056400905,27.9285633098912
"26","042","0001","Navojoa","260420001186","JUAREZ",-109.444842178892,27.0619953369217
"26","029","0001","Heroica Guaymas","2602900016268","ADOLFO DE LA HUERTA",-110.881732941143,27.9377231055727
"26","029","0001","Heroica Guaymas","260290001188","GUARIDA DEL TIGRE",-110.886987277915,27.932047241689
"26","042","0001","Navojoa","260420001189","MODERNA",-109.439975704345,27.0820052294142
"26","029","0001","Heroica Guaymas","260290001190","CENTRO",-110.894227650798,27.9242071058151
"26","029","0001","Heroica Guaymas","260290001191","BUROCRATA ( JARDINES )",-110.904856914745,27.9284598893856
"26","029","0001","Heroica Guaymas","260290001192","AMPLIACION BUROCRATA",-110.906196851015,27.9322520639742
"26","029","0001","Heroica Guaymas","260290001193","LAS DELICIAS",-110.911727595845,27.9276968997986
"26","029","0001","Heroica Guaymas","260290001194","29 DE NOVIEMBRE",-110.908576314178,27.9238003444255
"26","029","0001","Heroica Guaymas","260290001195","NACIONALIZACION DEL GOLFO",-110.920686798302,27.9042983269695
"26","029","0001","Heroica Guaymas","260290001197","PERIODISTA",-110.923114966323,27.9149685670352
"26","029","0001","Heroica Guaymas","260290001198","POPULAR",-110.923958086729,27.9136460884459
"26","029","0001","Heroica Guaymas","260290001199","AMPLIACION MIGUEL HIDALGO",-110.920744395991,27.9126511436175
"26","029","0001","Heroica Guaymas","260290001200","LAS COLINAS",-110.923734526625,27.9074394944715
"26","029","0001","Heroica Guaymas","260290001201","PLAYA DE CORTEZ",-110.929538541275,27.9072120861577
"26","029","0001","Heroica Guaymas","260290001202","AMPLIACION NACIONALIZACION DEL GOLFO",-110.925300970144,27.9051476957004
"26","026","0001","Etchojoa","260260001203","EL RASTRO",-109.623253635018,26.911998858776
"26","029","0001","Heroica Guaymas","260290001204","23 DE MARZO",-110.923837699594,27.8993414908116
"26","029","0001","Heroica Guaymas","260290001205","PESCADORES",-110.920950591165,27.8976228821155
"26","029","0001","Heroica Guaymas","260290001206","18 DE NOVIEMBRE",-110.92305387844,27.894206726758
"26","029","0001","Heroica Guaymas","260290001207","LAS PALMAS",-110.917729653683,27.8974772866533
"26","029","0001","Heroica Guaymas","260290001208","EL CENTENARIO",-110.917417960323,27.891413476466
"26","029","0001","Heroica Guaymas","260290001209","DEPORTIVA JULIO ALFONSO ALFONSO",-110.911641120912,27.8913955515494
"26","029","0001","Heroica Guaymas","260290001210","RADIO XEFX",-110.908731310214,27.8949308965374
"26","029","0001","Heroica Guaymas","260290001211","23 DE NOVIEMBRE",-110.914283115379,27.8865343602442
"26","029","0001","Heroica Guaymas","260290001212","LOMA BONITA",-110.914076255211,27.8841624816161
"26","029","0001","Heroica Guaymas","260290001213","SAHUARIPA O MANUEL R BOBADILLA",-110.910203999193,27.8858026279815
"26","029","0001","Heroica Guaymas","260290001214","MISION DEL SOL",-110.910178929107,27.8809024924011
"26","029","0001","Heroica Guaymas","260290001215","TETABIATE",-110.912953775063,27.8795153708655
"26","026","0017","La Bocana","260260017216","LA BOCANA",-109.668143112467,26.8869863204727
"26","065","0001","Tubutama","260650001217","CENTRO",-111.462084377337,30.8821458353019
"26","060","0001","Sáric","260600001218","CENTRO",-111.380495248141,31.1040541017578
"26","042","0046","Etchohuaquila","260420046219","ETCHOHUAQUILA",-109.757047312835,27.3172809610416
"26","026","0108","El Salitral","260260108221","EL SALITRAL",-109.641857525508,26.8841387709203
"26","042","0085","Musuabampo","260420085222","NATIVOS DE MUSUABAMPO",-109.777505860622,27.2896775158121
"26","042","0015","Buáraje Viejo","260420015223","BUARAJE VIEJO",-109.799078457127,27.2605927952338
"26","058","0001","Santa Ana","260580001224","CENTRO",-111.120956746069,30.5447528704406
"26","042","0115","El Sifón (Sifón Canal Alto)","260420115225","EL SIFON",-109.785667979428,27.2731844971662
"26","058","0001","Santa Ana","260580001226","LA GRANJA",-111.127041364711,30.540597705288
"26","042","0380","Santa María del Buaraje","260420380227","SANTA MARIA DEL BUARAJE",-109.802664952933,27.3024563113877
"26","026","0008","Bacame Nuevo","260260008228","BACAME NUEVO",-109.591832405796,27.1585451961088
"26","042","0066","Joaquín Amaro","260420066229","JOAQUIN AMARO",-109.762182634962,27.2582326959981
"26","026","0048","Lázaro Cárdenas (Mayojusálit)","260260048230","MAYOJUSALIT 2",-109.730345485779,27.2104324729579
"26","058","0001","Santa Ana","260580001231","SANTA CECILIA",-111.123084679108,30.5325006863186
"26","042","0049","General Gabriel Leyva Solano (Gabriel Leyva)","260420049232","GABRIEL LEYVA SOLANO",-109.660095503468,27.2691977668925
