"cveloc","cvegeo","nom_mun","nom_loc","cve_col","nom_col","pobtot","caract","valor","num","clasf_prop"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"recucall_c",1,1,"Todas las
vialidades"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"acesoper_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"acesoaut_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"pasopeat_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"drenajep_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"transcol_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"ciclovia_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"ciclocarril_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"letrero_c",1,1,"Todas las
vialidades"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"rampas_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"semaforopeat_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"semaforoaudi_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"paradatrans_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"estacionbici_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"arboles_c",2,1,"Alguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"alumpub_c",2,1,"Alguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"telpub_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"puessemi_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"puesambu_c",3,1,"Ninguna
vialidad"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"banqueta_c",1,1,"Todas las
vialidades"
260240001,"2602400010153001","Divisaderos","Divisaderos","260240001381","CENTRO",17,"guarnici_c",2,1,"Alguna
vialidad"
260240001,"2602400010153002","Divisaderos","Divisaderos","260240001381","CENTRO",22,"recucall_c",1,1,"Todas las
vialidades"
