"cveloc","cvegeo","nom_mun","nom_loc","cve_col","nom_col","pobtot","caract","valor","num","clasf_prop"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"recucall_c",2,1,"Alguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"acesoper_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"acesoaut_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"pasopeat_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"drenajep_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"transcol_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"ciclovia_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"ciclocarril_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"letrero_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"rampas_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"semaforopeat_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"semaforoaudi_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"paradatrans_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"estacionbici_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"arboles_c",2,1,"Alguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"alumpub_c",2,1,"Alguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"telpub_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"puessemi_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"puesambu_c",3,1,"Ninguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"banqueta_c",2,1,"Alguna
vialidad"
260270001,"2602700010371001","Fronteras","Fronteras","260270001372","CENTRO",22,"guarnici_c",2,1,"Alguna
vialidad"
260270001,"2602700010371002","Fronteras","Fronteras","260270001372","CENTRO",7,"recucall_c",2,1,"Alguna
vialidad"
260270001,"2602700010371002","Fronteras","Fronteras","260270001372","CENTRO",7,"acesoper_c",3,1,"Ninguna
vialidad"
