"cveloc","cvegeo","nom_mun","nom_loc","cve_col","nom_col","pobtot","caract","valor","num","clasf_prop"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"recucall_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"acesoper_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"acesoaut_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"pasopeat_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"drenajep_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"transcol_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"ciclovia_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"ciclocarril_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"letrero_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"rampas_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"semaforopeat_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"semaforoaudi_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"paradatrans_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"estacionbici_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"arboles_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"alumpub_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"telpub_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"puessemi_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"puesambu_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"banqueta_c",2,1,"Alguna
vialidad"
260330001,"2603300010218001","Huatabampo","Huatabampo","260330001617","CENTRO",109,"guarnici_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"recucall_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"acesoper_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"acesoaut_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"pasopeat_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"drenajep_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"transcol_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"ciclovia_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"ciclocarril_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"letrero_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"rampas_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"semaforopeat_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"semaforoaudi_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"paradatrans_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"estacionbici_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"arboles_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"alumpub_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"telpub_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"puessemi_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"puesambu_c",3,1,"Ninguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"banqueta_c",2,1,"Alguna
vialidad"
260330001,"2603300010218002","Huatabampo","Huatabampo","260330001617","CENTRO",98,"guarnici_c",2,1,"Alguna
vialidad"
260330001,"2603300010218003","Huatabampo","Huatabampo","260330001630","CENTRO",47,"recucall_c",1,1,"Todas las
vialidades"
