"cveloc","cvegeo","nom_mun","nom_loc","cve_col","nom_col","pobtot","caract","valor","num","clasf_prop"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"recucall_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"acesoper_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"acesoaut_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"pasopeat_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"drenajep_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"transcol_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"ciclovia_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"ciclocarril_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"letrero_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"rampas_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"semaforopeat_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"semaforoaudi_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"paradatrans_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"estacionbici_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"arboles_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"alumpub_c",2,1,"Alguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"telpub_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"puessemi_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"puesambu_c",3,1,"Ninguna
vialidad"
260620001,"2606200010192001","Suaqui Grande","Suaqui Grande","260620001452","SUAQUI GRANDE",12,"banqueta_c",2,1,"Alguna
vialidad"
