"cveloc","entidad","mun","nom_mun","loc","nom_loc","pobtot","manzanas"
"260010001",26,"001","Aconchi","0001","Aconchi",1650,135
"260020001",26,"002","Agua Prieta","0001","Agua Prieta",91029,3998
"260030001",26,"003","Alamos","0001","Álamos",10961,425
"260040001",26,"004","Altar","0001","Altar",8439,341
"260050001",26,"005","Arivechi","0001","Arivechi",635,65
"260060001",26,"006","Arizpe","0001","Arizpe",1666,191
"260070001",26,"007","Atil","0001","Atil",612,40
"260080001",26,"008","Bacadéhuachi","0001","Bacadéhuachi",979,112
"260090001",26,"009","Bacanora","0001","Bacanora",498,61
"260100001",26,"010","Bacerac","0001","Bacerac",1019,161
"260110001",26,"011","Bacoachi","0001","Bacoachi",1036,135
"260120001",26,"012","Bácum","0001","Bácum",4326,146
"260120082",26,"012","Bácum","0082","Francisco Javier Mina (Campo 60)",6338,248
"260120093",26,"012","Bácum","0093","San José de Bácum",4312,125
"260130001",26,"013","Banámichi","0001","Banámichi",1417,95
"260140001",26,"014","Baviácora","0001","Baviácora",1761,207
"260150001",26,"015","Bavispe","0001","Bavispe",674,76
"260160001",26,"016","Benjamín Hill","0001","Benjamín Hill",4837,338
"260170001",26,"017","Caborca","0001","Heroica Caborca",67604,2282
"260170246",26,"017","Caborca","0246","Plutarco Elías Calles (La Y Griega)",5159,337
"260180001",26,"018","Cajeme","0001","Ciudad Obregón",329404,5281
"260180284",26,"018","Cajeme","0284","Cócorit",7424,194
"260180311",26,"018","Cajeme","0311","Esperanza",39164,673
"260180334",26,"018","Cajeme","0334","Marte R. Gómez (Tobarito)",8473,147
"260180364",26,"018","Cajeme","0364","Providencia",4146,106
"260180365",26,"018","Cajeme","0365","Quetchehueca",3002,42
"260180403",26,"018","Cajeme","0403","Pueblo Yaqui",14173,280
"260190001",26,"019","Cananea","0001","Heroica Cananea",38113,1014
"260200001",26,"020","Carbó","0001","Carbó",4483,158
"260210001",26,"021","La Colorada","0001","La Colorada",394,53
"260220001",26,"022","Cucurpe","0001","Cucurpe",595,47
"260230001",26,"023","Cumpas","0001","Cumpas",2934,183
"260240001",26,"024","Divisaderos","0001","Divisaderos",753,90
"260250001",26,"025","Empalme","0001","Empalme",38886,1431
"260260001",26,"026","Etchojoa","0001","Etchojoa",9831,255
"260260008",26,"026","Etchojoa","0008","Bacame Nuevo",3220,78
"260260011",26,"026","Etchojoa","0011","Bacobampo",8267,281
"260260012",26,"026","Etchojoa","0012","Basconcobe",2913,90
"260260019",26,"026","Etchojoa","0019","Buaysiacobe",4727,142
"260260067",26,"026","Etchojoa","0067","Sahuaral",2817,52
"260270001",26,"027","Fronteras","0001","Fronteras",806,48
"260270045",26,"027","Fronteras","0045","Esqueda",7240,367
"260280001",26,"028","Granados","0001","Granados",1009,76
"260290001",26,"029","Guaymas","0001","Heroica Guaymas",117253,3211
"260290025",26,"029","Guaymas","0025","San Carlos",2508,493
"260290202",26,"029","Guaymas","0202","Pótam",7044,189
"260290325",26,"029","Guaymas","0325","Vícam (Switch)",9392,228
"260300001",26,"030","Hermosillo","0001","Hermosillo",855563,15521
"260300137",26,"030","Hermosillo","0137","Bahía de Kino",6454,494
"260300343",26,"030","Hermosillo","0343","Miguel Alemán",39474,669
"260300535",26,"030","Hermosillo","0535","San Pedro el Saucito",3366,136
"260310001",26,"031","Huachinera","0001","Huachinera",810,135
"260320001",26,"032","Huásabas","0001","Huásabas",865,88
"260330001",26,"033","Huatabampo","0001","Huatabampo",30324,751
"260330094",26,"033","Huatabampo","0094","La Unión",4962,105
"260330099",26,"033","Huatabampo","0099","Yavaros (Isla las Viejas)",3677,67
"260340001",26,"034","Huépac","0001","Huépac",685,119
"260350001",26,"035","Imuris","0001","Imuris",6924,297
"260360001",26,"036","Magdalena","0001","Magdalena de Kino",30429,816
"260370001",26,"037","Mazatán","0001","Mazatán",1058,115
"260380001",26,"038","Moctezuma","0001","Moctezuma",4787,234
"260390001",26,"039","Naco","0001","Naco",5485,258
"260400001",26,"040","Nácori Chico","0001","Nácori Chico",816,111
"260410001",26,"041","Nacozari de García","0001","Nacozari de García",12987,501
"260420001",26,"042","Navojoa","0001","Navojoa",120926,2981
"260420531",26,"042","Navojoa","0531","Pueblo Mayo",2668,81
"260430001",26,"043","Nogales","0001","Heroica Nogales",261137,3535
"260440001",26,"044","Onavas","0001","Ónavas",350,43
"260450001",26,"045","Opodepe","0001","Opodepe",295,53
"260460001",26,"046","Oquitoa","0001","Oquitoa",474,31
"260470001",26,"047","Pitiquito","0001","Pitiquito",5139,236
"260470065",26,"047","Pitiquito","0065","Puerto Libertad",2750,162
"260480001",26,"048","Puerto Peñasco","0001","Puerto Peñasco",62301,3371
"260490001",26,"049","Quiriego","0001","Quiriego",1299,71
"260500001",26,"050","Rayón","0001","Rayón",1301,148
"260510001",26,"051","Rosario","0001","Rosario",2927,179
"260520001",26,"052","Sahuaripa","0001","Sahuaripa",3600,229
"260530001",26,"053","San Felipe de Jesús","0001","San Felipe de Jesús",366,60
"260540001",26,"054","San Javier","0001","San Javier",523,40
"260550001",26,"055","San Luis Río Colorado","0001","San Luis Río Colorado",176685,7062
"260550011",26,"055","San Luis Río Colorado","0011","Golfo de Santa Clara",4618,387
"260550017",26,"055","San Luis Río Colorado","0017","Ing. Luis B. Sánchez",5970,165
"260560001",26,"056","San Miguel de Horcasitas","0001","San Miguel de Horcasitas",440,47
"260560027",26,"056","San Miguel de Horcasitas","0027","Pesqueira",9442,296
"260570001",26,"057","San Pedro de la Cueva","0001","San Pedro de la Cueva",958,128
"260580001",26,"058","Santa Ana","0001","Santa Ana",12372,473
"260590001",26,"059","Santa Cruz","0001","Santa Cruz",846,118
"260600001",26,"060","Sáric","0001","Sáric",706,32
"260610001",26,"061","Soyopa","0001","Soyopa",131,36
"260620001",26,"062","Suaqui Grande","0001","Suaqui Grande",1074,72
"260630001",26,"063","Tepache","0001","Tepache",1128,125
"260640001",26,"064","Trincheras","0001","Trincheras",929,90
"260650001",26,"065","Tubutama","0001","Tubutama",217,38
"260660001",26,"066","Ures","0001","Heroica Ciudad de Ures",3619,185
"260670001",26,"067","Villa Hidalgo","0001","Villa Hidalgo",1183,100
"260680001",26,"068","Villa Pesqueira","0001","Villa Pesqueira (Mátape)",483,86
"260690001",26,"069","Yécora","0001","Yécora",2453,172
"260700001",26,"070","General Plutarco Elías Calles","0001","Sonoyta",11440,802
"260710001",26,"071","Benito Juárez","0001","Villa Juárez",13153,265
"260710139",26,"071","Benito Juárez","0139","Paredón Colorado (Paredón Viejo)",2945,73
"260720001",26,"072","San Ignacio Río Muerto","0001","San Ignacio Río Muerto",8135,304
"260720017",26,"072","San Ignacio Río Muerto","0017","Bahía de Lobos",2991,107
