caract,subtitulo,nom_cort,titulo,direccion,textloc,censo
recucall_c,Manzanas de la localidad según disponibilidad de recubrimiento en sus vialidades circundantes,Pavimentación,Pavimentación,1,Manzanas con recubrimiento en todas sus vialidades circundantes en 2020.,2020
banqueta_c,Manzanas de la localidad según disponibilidad de banqueta en sus vialidades circundantes,Banquetas,Banquetas,1,Manzanas con banqueta en todas sus vialidades circundantes en 2020.,2020
alumpub_c,Manzanas de la localidad según disponibilidad de alumbrado público en sus vialidades circundantes,Alumbrado público,Alumbrado público,1,Manzanas con alumbrado público en todas sus vialidades circundantes en 2020,2020
arboles_c,Manzanas de la localidad según disponibilidad de árboles o palmeras en sus vialidades circundantes,Árboles,Vialidades con árboles,1,Manzanas con árboles en todas sus vialidades circundantes en 2020.,2020
letrero_c,Manzanas de la localidad según disponibilidad de letrero con nombre de la calle en sus vialidades circundantes,Nombres de calles,Nomenclatura de calles,1,Manzanas con nomenclatura en todas sus vialidades circundantes en 2020.,2020
transcol_c,Manzanas de la localidad según disponibilidad de  transporte colectivo en sus vialidades circundantes,Transporte colectivo,Transporte colectivo,1,Manzanas con transporte colectivo en todas sus vialidades circundantes en 2020.,2020
ciclovia_c,Manzanas de la localidad según disponibilidad de ciclovía en sus vialidades circundantes,Ciclovías,Ciclovías,1,Manzanas con ciclovías en todas sus vialidades circundantes en 2020.,2020
rampas_c,Manzanas de la localidad según disponibilidad de rampa para silla de ruedas en sus vialidades circundantes,Rampas para sillas de ruedas,Rampas para silla de ruedas,1,Manzanas con rampas para sillas de ruedas en todas sus vialidades circundantes en 2020.,2020
pasopeat_c,Manzanas de la localidad según disponibilidad de paso peatonal en sus vialidades circundantes,Pasos peatonales,Pasos peatonales,1,Manzanas con paso peatonal ninguna de sus vialidades circundantes en 2020.,2020
guarnici_c,Manzanas de la localidad según disponibilidad de guarnición en sus vialidades circundantes,Guarnición,Guarniciones,1,Manzanas con guarnición en todas sus vialidades circundantes en 2020.,2020
paradatrans_c,Manzanas de la localidad según disponibilidad de parada de transporte colectivo en sus vialidades circundantes,Paradas de camión,Paradas de camión,1,Manzanas con paradas de camión en todas sus vialidades circundantes en 2020.,2020
drenajep_c,Manzanas de la localidad según disponibilidad de alcantarilla o drenaje pluvial en sus vialidades circundantes,Drenaje pluvial,Drenaje pluvial,1,Manzanas con drenaje pluvial en todas sus vialidades circundantes en 2020.,2020
ciclocarril_c,Manzanas de la localidad según disponibilidad de Ciclocarril en sus vialidades circundantes,Ciclocarriles,Ciclocarriles,1,Manzanas con ciclocarriles en todas sus vialidades circundantes en 2020.,2020
semaforopeat_c,Manzanas de la localidad según disponibilidad de semáforo para peatón en sus vialidades circundantes,Semáforos para peatón,Semáforo para peatón,1,Manzanas con semáforos para peatón en todas sus vialidades circundantes en 2020.,2020
semaforoaudi_c,Manzanas de la localidad según disponibilidad de semáforo auditivo en sus vialidades circundantes,Semáforo auditivo,Semáforo auditivo,1,Manzanas con semáforo auditivo en todas sus vialidades circundantes en 2020.,2020
estacionbici_c,Manzanas de la localidad según disponibilidad de estación para bicicleta en sus vialidades circundantes,Estaciones de bicicletas,Estación de bicicleta,1,Manzanas con estaciones de bicicletas en todas sus vialidades circundantes en 2020.,2020
telpub_c,Manzanas de la localidad según disponibilidad de teléfono público en sus vialidades circundantes,Teléfono público,Teléfono público,1,Manzanas con teléfono público en todas sus vialidades circundantes en 2020.,2020
puessemi_c,Manzanas de la localidad según presencia de puesto semifijo en sus vialidades circundantes,Puestos semifijos,Puestos semifijos,1,Manzanas con puesto semifijo en todas sus vialidades circundantes en 2020.,2020
puesambu_c,Manzanas de la localidad según presencia de puesto ambulante en sus vialidades circundantes,Puestos ambulantes,Puestos ambulantes,1,Manzanas con puesto ambulante en todas sus vialidades circundantes en 2020.,2020
acesoper_c,Manzanas de la localidad según disponibilidad de alguna barrera u obstáculo destinado a restringir el paso a peatones en sus vialidades circundantes,Restricción a peatones,Restricción a peatones,-1,Manzanas con restricción del paso a peatones ninguna de sus vialidades circundantes en 2020.,2020
acesoaut_c,Manzanas de la localidad según disponibilidad de alguna barrera u obstáculo destinado a restringir el paso a automóviles en sus vialidades circundantes,Restricción a automóviles,Restricción a automóviles,-1,Manzanas con restricción del paso a automóviles en ninguna de sus vialidades circundantes en 2020.,2020
